accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR17192198	SRP350197	new	PRJNA787774	SAMN23843945	CN48	CN48	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN48-redeposit_S1_R1.fastq.gz	CN48-redeposit_S1_R2.fastq.gz				
SRR17192196	SRP350197	new	PRJNA787774	SAMN23843946	CN49	CN49	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN49-redeposit_S2_R1.fastq.gz	CN49-redeposit_S2_R2.fastq.gz				
SRR17192195	SRP350197	new	PRJNA787774	SAMN23843947	CN51	CN51	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN51_S87_R1.fastq.gz	CN51_S87_R2.fastq.gz				
SRR17192194	SRP350197	new	PRJNA787774	SAMN23843948	CN56	CN56	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN56_S69_R1.fastq.gz	CN56_S69_R2.fastq.gz				
SRR17192193	SRP350197	new	PRJNA787774	SAMN23843949	CN57	CN57	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN57_S7_R1.fastq.gz	CN57_S7_R2.fastq.gz				
SRR17192192	SRP350197	new	PRJNA787774	SAMN23843950	CN58	CN58	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN58_S110_R1.fastq.gz	CN58_S110_R2.fastq.gz				
SRR17192191	SRP350197	new	PRJNA787774	SAMN23843951	CN59	CN59	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN59_S118_R1.fastq.gz	CN59_S118_R2.fastq.gz				
SRR17192190	SRP350197	new	PRJNA787774	SAMN23843952	CN60	CN60	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN60_S114_R1.fastq.gz	CN60_S114_R2.fastq.gz				
SRR17192189	SRP350197	new	PRJNA787774	SAMN23843953	CN61	CN61	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN61_S142_R1.fastq.gz	CN61_S142_R2.fastq.gz				
SRR17192188	SRP350197	new	PRJNA787774	SAMN23843954	CN62	CN62	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN62_S148_R1.fastq.gz	CN62_S148_R2.fastq.gz				
SRR17192187	SRP350197	new	PRJNA787774	SAMN23843955	CN63	CN63	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN63-redeposit_S4_R1.fastq.gz	CN63-redeposit_S4_R2.fastq.gz				
SRR17192689	SRP350197	new	PRJNA787774	SAMN23843956	CN65	CN65	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN65_S114_R1.fastq.gz	CN65_S114_R2.fastq.gz				
SRR17192656	SRP350197	new	PRJNA787774	SAMN23843957	CN68	CN68	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN68_S153_R1.fastq.gz	CN68_S153_R2.fastq.gz				
SRR17192655	SRP350197	new	PRJNA787774	SAMN23843958	CN69	CN69	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN69_S115_R1.fastq.gz	CN69_S115_R2.fastq.gz				
SRR17192654	SRP350197	new	PRJNA787774	SAMN23843959	CN70	CN70	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN70_S138_R1.fastq.gz	CN70_S138_R2.fastq.gz				
SRR17192653	SRP350197	new	PRJNA787774	SAMN23843960	CN71	CN71	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN71_S260_R1.fastq.gz	CN71_S260_R2.fastq.gz				
SRR17192652	SRP350197	new	PRJNA787774	SAMN23843961	CN75	CN75	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN75-redeposit_S1_R1.fastq.gz	CN75-redeposit_S1_R2.fastq.gz				
SRR17192651	SRP350197	new	PRJNA787774	SAMN23843962	CN79	CN79	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN79_S90_R1.fastq.gz	CN79_S90_R2.fastq.gz				
SRR17192650	SRP350197	new	PRJNA787774	SAMN23843963	CN81	CN81	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN81_S91_R1.fastq.gz	CN81_S91_R2.fastq.gz				
SRR17192649	SRP350197	new	PRJNA787774	SAMN23843964	CN82	CN82	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN82-redeposit_S7_R1.fastq.gz	CN82-redeposit_S7_R2.fastq.gz				
SRR17192648	SRP350197	new	PRJNA787774	SAMN23843965	CN83	CN83	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN83_S264_R1.fastq.gz	CN83_S264_R2.fastq.gz				
SRR17192646	SRP350197	new	PRJNA787774	SAMN23843966	CN84	CN84	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN84_S11_R1.fastq.gz	CN84_S11_R2.fastq.gz				
SRR17192645	SRP350197	new	PRJNA787774	SAMN23843967	CN85	CN85	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN85_S93_R1.fastq.gz	CN85_S93_R2.fastq.gz				
SRR17192644	SRP350197	new	PRJNA787774	SAMN23843968	CN86	CN86	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN86_S117_R1.fastq.gz	CN86_S117_R2.fastq.gz				
SRR17192643	SRP350197	new	PRJNA787774	SAMN23843969	CN87	CN87	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN87_S153_R1.fastq.gz	CN87_S153_R2.fastq.gz				
SRR17192642	SRP350197	new	PRJNA787774	SAMN23843970	CN89	CN89	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN89_S106_R1.fastq.gz	CN89_S106_R2.fastq.gz				
SRR17192641	SRP350197	new	PRJNA787774	SAMN23843971	CN90	CN90	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN90_S115_R1.fastq.gz	CN90_S115_R2.fastq.gz				
SRR17192640	SRP350197	new	PRJNA787774	SAMN23843972	CN92	CN92	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN92_S14_R1.fastq.gz	CN92_S14_R2.fastq.gz				
SRR17192639	SRP350197	new	PRJNA787774	SAMN23843973	CT12	CT12	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT12_S38_R1.fastq.gz	CT12_S38_R2.fastq.gz				
SRR17192638	SRP350197	new	PRJNA787774	SAMN23843974	CT13	CT13	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT13_S56_R1.fastq.gz	CT13_S56_R2.fastq.gz				
SRR17192637	SRP350197	new	PRJNA787774	SAMN23843975	CT15	CT15	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT15_S46_R1.fastq.gz	CT15_S46_R2.fastq.gz				
SRR17192635	SRP350197	new	PRJNA787774	SAMN23843976	CT20	CT20	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT20_S45_R1.fastq.gz	CT20_S45_R2.fastq.gz				
SRR17192634	SRP350197	new	PRJNA787774	SAMN23843977	CT21	CT21	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT21_S64_R1.fastq.gz	CT21_S64_R2.fastq.gz				
SRR17192633	SRP350197	new	PRJNA787774	SAMN23843978	CT27	CT27	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT27_S155_R1.fastq.gz	CT27_S155_R2.fastq.gz				
SRR17192632	SRP350197	new	PRJNA787774	SAMN23843979	CT3	CT3	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT3_S18_R1.fastq.gz	CT3_S18_R2.fastq.gz				
SRR17192631	SRP350197	new	PRJNA787774	SAMN23843980	CT32	CT32	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT32_S156_R1.fastq.gz	CT32_S156_R2.fastq.gz				
SRR17192630	SRP350197	new	PRJNA787774	SAMN23843981	CT34	CT34	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT34_S120_R1.fastq.gz	CT34_S120_R2.fastq.gz				
SRR17192629	SRP350197	new	PRJNA787774	SAMN23843982	CT38	CT38	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT38_S121_R1.fastq.gz	CT38_S121_R2.fastq.gz				
SRR17192628	SRP350197	new	PRJNA787774	SAMN23843983	CT49	CT49	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT49_S17_R1.fastq.gz	CT49_S17_R2.fastq.gz				
SRR17192627	SRP350197	new	PRJNA787774	SAMN23843984	CT55	CT55	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT55_S273_R1.fastq.gz	CT55_S273_R2.fastq.gz				
SRR17192626	SRP350197	new	PRJNA787774	SAMN23843985	CT6	CT6	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT6_S51_R1.fastq.gz	CT6_S51_R2.fastq.gz				
SRR17192528	SRP350197	new	PRJNA787774	SAMN23843986	CT63	CT63	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT63_S278_R1.fastq.gz	CT63_S278_R2.fastq.gz				
SRR17192527	SRP350197	new	PRJNA787774	SAMN23843987	CT8	CT8	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CT8_S19_R1.fastq.gz	CT8_S19_R2.fastq.gz				
SRR17192526	SRP350197	new	PRJNA787774	SAMN23843988	CV8	CV8	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CV8_S101_R1.fastq.gz	CV8_S101_R2.fastq.gz				
SRR17192525	SRP350197	new	PRJNA787774	SAMN23843989	CV9	CV9	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CV9_S112_R1.fastq.gz	CV9_S112_R2.fastq.gz				
SRR17192524	SRP350197	new	PRJNA787774	SAMN23843990	DI1	DI1	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI1_S186_R1.fastq.gz	DI1_S186_R2.fastq.gz				
SRR17192523	SRP350197	new	PRJNA787774	SAMN23843991	DI10	DI10	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI10_S118_R1.fastq.gz	DI10_S118_R2.fastq.gz				
SRR17192522	SRP350197	new	PRJNA787774	SAMN23843992	DI12	DI12	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI12_S35_R1.fastq.gz	DI12_S35_R2.fastq.gz				
SRR17192521	SRP350197	new	PRJNA787774	SAMN23843993	DI13	DI13	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI13_S156_R1.fastq.gz	DI13_S156_R2.fastq.gz				
SRR17192520	SRP350197	new	PRJNA787774	SAMN23843994	DI2	DI2	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI2_S147_R1.fastq.gz	DI2_S147_R2.fastq.gz				
SRR17192519	SRP350197	new	PRJNA787774	SAMN23843995	DI4	DI4	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI4_S60_R1.fastq.gz	DI4_S60_R2.fastq.gz				
SRR17192517	SRP350197	new	PRJNA787774	SAMN23843996	DI5	DI5	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI5_S114_R1.fastq.gz	DI5_S114_R2.fastq.gz				
SRR17192516	SRP350197	new	PRJNA787774	SAMN23843997	DI7	DI7	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI7_S115_R1.fastq.gz	DI7_S115_R2.fastq.gz				
SRR17192515	SRP350197	new	PRJNA787774	SAMN23843998	DI8	DI8	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI8_S116_R1.fastq.gz	DI8_S116_R2.fastq.gz				
SRR17192514	SRP350197	new	PRJNA787774	SAMN23843999	DI9	DI9	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	DI9_S117_R1.fastq.gz	DI9_S117_R2.fastq.gz				
SRR17192513	SRP350197	new	PRJNA787774	SAMN23844000	E10	E10	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E10_S61_R1.fastq.gz	E10_S61_R2.fastq.gz				
SRR17192512	SRP350197	new	PRJNA787774	SAMN23844001	E20	E20	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E20_S62_R1.fastq.gz	E20_S62_R2.fastq.gz				
SRR17192511	SRP350197	new	PRJNA787774	SAMN23844002	E22	E22	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E22_S60_R1.fastq.gz	E22_S60_R2.fastq.gz				
SRR17192510	SRP350197	new	PRJNA787774	SAMN23844003	E25	E25	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E25_S272_R1.fastq.gz	E25_S272_R2.fastq.gz				
SRR17192509	SRP350197	new	PRJNA787774	SAMN23844004	E30	E30	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E30_S49_R1.fastq.gz	E30_S49_R2.fastq.gz				
SRR17192508	SRP350197	new	PRJNA787774	SAMN23844005	E33	E33	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E33_S61_R1.fastq.gz	E33_S61_R2.fastq.gz				
SRR17192506	SRP350197	new	PRJNA787774	SAMN23844006	E35	E35	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E35_S197_R1.fastq.gz	E35_S197_R2.fastq.gz				
SRR17192505	SRP350197	new	PRJNA787774	SAMN23844007	E37	E37	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E37_S157_R1.fastq.gz	E37_S157_R2.fastq.gz				
SRR17192504	SRP350197	new	PRJNA787774	SAMN23844008	E49	E49	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E49_S117_R1.fastq.gz	E49_S117_R2.fastq.gz				
SRR17192503	SRP350197	new	PRJNA787774	SAMN23844009	E52	E52	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E52_S118_R1.fastq.gz	E52_S118_R2.fastq.gz				
SRR17192502	SRP350197	new	PRJNA787774	SAMN23844010	E53	E53	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E53_S119_R1.fastq.gz	E53_S119_R2.fastq.gz				
SRR17192501	SRP350197	new	PRJNA787774	SAMN23844011	E63	E63	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E63_S120_R1.fastq.gz	E63_S120_R2.fastq.gz				
SRR17192500	SRP350197	new	PRJNA787774	SAMN23844012	E71	E71	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E71_S158_R1.fastq.gz	E71_S158_R2.fastq.gz				
SRR17192499	SRP350197	new	PRJNA787774	SAMN23844013	E73	E73	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E73_S19_R1.fastq.gz	E73_S19_R2.fastq.gz				
SRR17192498	SRP350197	new	PRJNA787774	SAMN23844014	E79	E79	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E79_S7_R1.fastq.gz	E79_S7_R2.fastq.gz				
SRR17192497	SRP350197	new	PRJNA787774	SAMN23844015	E84	E84	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E84-redeposit_S3_R1.fastq.gz	E84-redeposit_S3_R2.fastq.gz				
SRR17192687	SRP350197	new	PRJNA787774	SAMN23844016	E87	E87	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E87-redeposit_S6_R1.fastq.gz	E87-redeposit_S6_R2.fastq.gz				
SRR17192686	SRP350197	new	PRJNA787774	SAMN23844017	E97	E97	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	E97_S77_R1.fastq.gz	E97_S77_R2.fastq.gz				
SRR17192685	SRP350197	new	PRJNA787774	SAMN23844018	H1	H1	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H1_S112_R1.fastq.gz	H1_S112_R2.fastq.gz				
SRR17192684	SRP350197	new	PRJNA787774	SAMN23844019	H100	H100	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H100_S195_R1.fastq.gz	H100_S195_R2.fastq.gz				
SRR17192683	SRP350197	new	PRJNA787774	SAMN23844020	H104	H104	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H104_S1_R1.fastq.gz	H104_S1_R2.fastq.gz				
SRR17192682	SRP350197	new	PRJNA787774	SAMN23844021	H105	H105	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H105-redeposit_S38_R1.fastq.gz	H105-redeposit_S38_R2.fastq.gz				
SRR17192681	SRP350197	new	PRJNA787774	SAMN23844022	H108	H108	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H108_S199_R1.fastq.gz	H108_S199_R2.fastq.gz				
SRR17192680	SRP350197	new	PRJNA787774	SAMN23844023	H11	H11	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H11_S59_R1.fastq.gz	H11_S59_R2.fastq.gz				
SRR17192679	SRP350197	new	PRJNA787774	SAMN23844024	H117	H117	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H117_S140_R1.fastq.gz	H117_S140_R2.fastq.gz				
SRR17192678	SRP350197	new	PRJNA787774	SAMN23844025	H118	H118	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H118-redeposit_S1_R1.fastq.gz	H118-redeposit_S1_R2.fastq.gz				
SRR17192676	SRP350197	new	PRJNA787774	SAMN23844026	H12	H12	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H12_S69_R1.fastq.gz	H12_S69_R2.fastq.gz				
SRR17192675	SRP350197	new	PRJNA787774	SAMN23844027	H122	H122	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H122_S136_R1.fastq.gz	H122_S136_R2.fastq.gz				
SRR17192674	SRP350197	new	PRJNA787774	SAMN23844028	H125	H125	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H125_S106_R1.fastq.gz	H125_S106_R2.fastq.gz				
SRR17192673	SRP350197	new	PRJNA787774	SAMN23844029	H129	H129	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H129_S53_R1.fastq.gz	H129_S53_R2.fastq.gz				
SRR17192672	SRP350197	new	PRJNA787774	SAMN23844030	H13	H13	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H13_S56_R1.fastq.gz	H13_S56_R2.fastq.gz				
SRR17192671	SRP350197	new	PRJNA787774	SAMN23844031	H136	H136	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H136_S109_R1.fastq.gz	H136_S109_R2.fastq.gz				
SRR17192670	SRP350197	new	PRJNA787774	SAMN23844032	H137	H137	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H137_S50_R1.fastq.gz	H137_S50_R2.fastq.gz				
SRR17192669	SRP350197	new	PRJNA787774	SAMN23844033	H139	H139	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H139_S273_R1.fastq.gz	H139_S273_R2.fastq.gz				
SRR17192668	SRP350197	new	PRJNA787774	SAMN23844034	H144	H144	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H144_S111_R1.fastq.gz	H144_S111_R2.fastq.gz				
SRR17192667	SRP350197	new	PRJNA787774	SAMN23844035	H147	H147	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	H147_S2_R1.fastq.gz	H147_S2_R2.fastq.gz				
